code,guess,beach
G200,15,parc-des-pierrettes
G177,7,parc-des-pierrettes
G178,20,parc-des-pierrettes
G10,20,parc-des-pierrettes
G100,4,parc-des-pierrettes
G112,20,parc-des-pierrettes
G117,5,parc-des-pierrettes
G21,20,parc-des-pierrettes
G23,15,parc-des-pierrettes
G24,30,parc-des-pierrettes
G25,15,parc-des-pierrettes
G27,35,parc-des-pierrettes
G30,30,parc-des-pierrettes
G31,10,parc-des-pierrettes
G32,5,parc-des-pierrettes
G33,15,parc-des-pierrettes
G35,5,parc-des-pierrettes
G67,17,parc-des-pierrettes
G70,5,parc-des-pierrettes
G74,10,parc-des-pierrettes
G89,20,parc-des-pierrettes
G95,10,parc-des-pierrettes
Gfrags,40,parc-des-pierrettes
Gfoam,10,parc-des-pierrettes
