code,guess,beach
G178,100,parc-des-pierrettes
G10,80,parc-des-pierrettes
G100,60,parc-des-pierrettes
G112,150,parc-des-pierrettes
G117,50,parc-des-pierrettes
G21,80,parc-des-pierrettes
G23,80,parc-des-pierrettes
G24,60,parc-des-pierrettes
G25,90,parc-des-pierrettes
G27,150,parc-des-pierrettes
G30,150,parc-des-pierrettes
G31,160,parc-des-pierrettes
G32,80,parc-des-pierrettes
G33,90,parc-des-pierrettes
G35,120,parc-des-pierrettes
G67,150,parc-des-pierrettes
G70,60,parc-des-pierrettes
G74,200,parc-des-pierrettes
G89,150,parc-des-pierrettes
G95,150,parc-des-pierrettes
Gfrags,160,parc-des-pierrettes
Gfoam,200,parc-des-pierrettes
G200,3,parc-des-pierrettes
G177,2,parc-des-pierrettes
G178,10,parc-des-pierrettes
G10,10,parc-des-pierrettes
G100,5,parc-des-pierrettes
G112,0,parc-des-pierrettes
G117,10,parc-des-pierrettes
G21,15,parc-des-pierrettes
G23,0,parc-des-pierrettes
G24,5,parc-des-pierrettes
G25,20,parc-des-pierrettes
G27,30,parc-des-pierrettes
G30,0,parc-des-pierrettes
G31,15,parc-des-pierrettes
G32,10,parc-des-pierrettes
G33,0,parc-des-pierrettes
G35,5,parc-des-pierrettes
G67,0,parc-des-pierrettes
G70,0,parc-des-pierrettes
G74,0,parc-des-pierrettes
G89,5,parc-des-pierrettes
G95,5,parc-des-pierrettes
Gfrags,20,parc-des-pierrettes
Gfoam,10,parc-des-pierrettes
G200,16,parc-des-pierrettes
G177,3,parc-des-pierrettes
G178,25,parc-des-pierrettes
G10,10,parc-des-pierrettes
G100,5,parc-des-pierrettes
G112,10,parc-des-pierrettes
G117,0,parc-des-pierrettes
G21,18,parc-des-pierrettes
G23,10,parc-des-pierrettes
G24,0,parc-des-pierrettes
G25,15,parc-des-pierrettes
G27,40,parc-des-pierrettes
G30,30,parc-des-pierrettes
G31,8,parc-des-pierrettes
G32,0,parc-des-pierrettes
G33,0,parc-des-pierrettes
G35,10,parc-des-pierrettes
G67,20,parc-des-pierrettes
G70,0,parc-des-pierrettes
G74,5,parc-des-pierrettes
G89,3,parc-des-pierrettes
G95,8,parc-des-pierrettes
Gfrags,0,parc-des-pierrettes
Gfoam,0,parc-des-pierrettes
G200,15,parc-des-pierrettes
G177,10,parc-des-pierrettes
G178,30,parc-des-pierrettes
G10,30,parc-des-pierrettes
G100,5,parc-des-pierrettes
G112,10,parc-des-pierrettes
G117,0,parc-des-pierrettes
G21,20,parc-des-pierrettes
G23,20,parc-des-pierrettes
G24,20,parc-des-pierrettes
G25,5,parc-des-pierrettes
G27,100,parc-des-pierrettes
G30,100,parc-des-pierrettes
G31,10,parc-des-pierrettes
G32,10,parc-des-pierrettes
G33,100,parc-des-pierrettes
G35,30,parc-des-pierrettes
G67,5,parc-des-pierrettes
G70,0,parc-des-pierrettes
G74,10,parc-des-pierrettes
G89,10,parc-des-pierrettes
G95,30,parc-des-pierrettes
Gfrags,500,parc-des-pierrettes
Gfoam,30,parc-des-pierrettes
G200,120,parc-des-pierrettes
G177,30,parc-des-pierrettes
G178,50,parc-des-pierrettes
G10,11,parc-des-pierrettes
G100,23,parc-des-pierrettes
G112,100,parc-des-pierrettes
G117,45,parc-des-pierrettes
G21,6,parc-des-pierrettes
G23,13,parc-des-pierrettes
G24,5,parc-des-pierrettes
G25,12,parc-des-pierrettes
G27,150,parc-des-pierrettes
G30,55,parc-des-pierrettes
G31,20,parc-des-pierrettes
G32,2,parc-des-pierrettes
G33,8,parc-des-pierrettes
G35,5,parc-des-pierrettes
G67,8,parc-des-pierrettes
G70,17,parc-des-pierrettes
G74,8,parc-des-pierrettes
G89,33,parc-des-pierrettes
G95,14,parc-des-pierrettes
Gfrags,30,parc-des-pierrettes
Gfoam,70,parc-des-pierrettes
G200,100,parc-des-pierrettes
G177,10,parc-des-pierrettes
G178,200,parc-des-pierrettes
G10,100,parc-des-pierrettes
G100,20,parc-des-pierrettes
G112,5,parc-des-pierrettes
G117,10,parc-des-pierrettes
G21,15,parc-des-pierrettes
G23,20,parc-des-pierrettes
G24,30,parc-des-pierrettes
G25,50,parc-des-pierrettes
G27,250,parc-des-pierrettes
G30,5,parc-des-pierrettes
G31,15,parc-des-pierrettes
G32,3,parc-des-pierrettes
G33,20,parc-des-pierrettes
G35,10,parc-des-pierrettes
G67,10,parc-des-pierrettes
G70,3,parc-des-pierrettes
G74,10,parc-des-pierrettes
G89,30,parc-des-pierrettes
G95,30,parc-des-pierrettes
Gfrags,80,parc-des-pierrettes
Gfoam,20,parc-des-pierrettes
G200,15,parc-des-pierrettes
G177,10,parc-des-pierrettes
G178,30,parc-des-pierrettes
G10,30,parc-des-pierrettes
G100,5,parc-des-pierrettes
G112,0,parc-des-pierrettes
G117,0,parc-des-pierrettes
G21,20,parc-des-pierrettes
G23,20,parc-des-pierrettes
G24,20,parc-des-pierrettes
G25,5,parc-des-pierrettes
G27,100,parc-des-pierrettes
G30,100,parc-des-pierrettes
G31,10,parc-des-pierrettes
G32,10,parc-des-pierrettes
G33,100,parc-des-pierrettes
G35,30,parc-des-pierrettes
G67,5,parc-des-pierrettes
G70,0,parc-des-pierrettes
G74,10,parc-des-pierrettes
G89,5,parc-des-pierrettes
G95,30,parc-des-pierrettes
Gfrags,500,parc-des-pierrettes
Gfoam,25,parc-des-pierrettes
